symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-12-07 00:00:00+00:00,169.32,170.44,168.91,169.03,24469613,40.2497288498,40.5159684926,40.1522661235,40.1807917995,97878452,0.0,1.0
AAPL,2017-12-08 00:00:00+00:00,169.37,171.0,168.82,170.49,23096872,40.2616145482,40.649088314,40.1308718664,40.5278541909,92387488,0.0,1.0
AAPL,2017-12-11 00:00:00+00:00,172.67,172.89,168.79,169.2,33092051,41.0460706384,41.0983677111,40.1237404474,40.2212031738,132368204,0.0,1.0
AAPL,2017-12-12 00:00:00+00:00,171.7,172.39,171.461,172.15,18945457,40.8154880907,40.9795107277,40.7586744526,40.9224593757,75781828,0.0,1.0
AAPL,2017-12-13 00:00:00+00:00,172.27,173.54,172.0,172.5,23142242,40.9509850517,41.2528817895,40.8868022807,41.0056592641,92568968,0.0,1.0
AAPL,2017-12-14 00:00:00+00:00,172.22,173.13,171.65,172.4,20219307,40.9390993534,41.1554190631,40.8036023923,40.9818878674,80877228,0.0,1.0
AAPL,2017-12-15 00:00:00+00:00,173.97,174.17,172.46,173.63,37054632,41.3550987952,41.4026415885,40.9961507054,41.2742760465,148218528,0.0,1.0
AAPL,2017-12-18 00:00:00+00:00,176.42,177.2,174.86,174.88,28831533,41.9374980137,42.1229149078,41.5666642256,41.5714185049,115326132,0.0,1.0
AAPL,2017-12-19 00:00:00+00:00,174.54,175.39,174.09,175.03,27078872,41.4905957562,41.692652628,41.3836244712,41.6070756,108315488,0.0,1.0
AAPL,2017-12-20 00:00:00+00:00,174.35,175.42,173.25,174.87,23000392,41.4454301026,41.699784047,41.1839447391,41.5690413653,92001568,0.0,1.0
AAPL,2017-12-21 00:00:00+00:00,175.01,176.02,174.1,174.17,20356826,41.6023213206,41.842412427,41.3860016109,41.4026415885,81427304,0.0,1.0
AAPL,2017-12-22 00:00:00+00:00,175.01,175.42,174.5,174.68,16052615,41.6023213206,41.699784047,41.4810871976,41.5238757116,64210460,0.0,1.0
AAPL,2017-12-26 00:00:00+00:00,170.57,171.47,169.68,170.8,32968167,40.5468713083,40.7608138783,40.3353058778,40.6015455206,131872668,0.0,1.0
AAPL,2017-12-27 00:00:00+00:00,170.6,170.78,169.71,170.1,21672062,40.5540027273,40.5967912413,40.3424372968,40.4351457439,86688248,0.0,1.0
AAPL,2017-12-28 00:00:00+00:00,171.08,171.85,170.48,171.0,15997739,40.6681054313,40.8511451857,40.5254770512,40.649088314,63990956,0.0,1.0
AAPL,2017-12-29 00:00:00+00:00,169.23,170.59,169.22,170.52,25643711,40.2283345928,40.5516255876,40.2259574531,40.5349856099,102574844,0.0,1.0
AAPL,2018-01-02 00:00:00+00:00,172.26,172.3,169.26,170.16,25048048,40.9486079121,40.9581164707,40.2354660118,40.4494085819,100192192,0.0,1.0
AAPL,2018-01-03 00:00:00+00:00,172.23,174.55,171.96,172.53,28819653,40.9414764931,41.4929728959,40.877293722,41.0127906831,115278612,0.0,1.0
AAPL,2018-01-04 00:00:00+00:00,173.03,173.47,172.08,172.54,22211345,41.1316476665,41.2362418118,40.905819398,41.0151678227,88845380,0.0,1.0
AAPL,2018-01-05 00:00:00+00:00,175.0,175.37,173.05,173.44,23016177,41.5999441809,41.6878983486,41.1364019458,41.2291103928,92064708,0.0,1.0
AAPL,2018-01-08 00:00:00+00:00,174.35,175.61,173.93,174.35,20134092,41.4454301026,41.7449497007,41.3455902365,41.4454301026,80536368,0.0,1.0
AAPL,2018-01-09 00:00:00+00:00,174.33,175.06,173.41,174.55,21262614,41.4406758232,41.614207019,41.2219789738,41.4929728959,85050456,0.0,1.0
AAPL,2018-01-10 00:00:00+00:00,174.29,174.3,173.0,173.16,23589129,41.4311672646,41.4335444042,41.1245162475,41.1625504821,94356516,0.0,1.0
AAPL,2018-01-11 00:00:00+00:00,175.28,175.49,174.49,174.59,17523256,41.6665040916,41.7164240247,41.4787100579,41.5024814546,70093024,0.0,1.0
AAPL,2018-01-12 00:00:00+00:00,177.09,177.36,175.65,176.18,25039531,42.0967663715,42.1609491425,41.7544582593,41.8804466617,100158124,0.0,1.0
AAPL,2018-01-16 00:00:00+00:00,176.19,179.39,176.14,177.9,29159005,41.8828238014,42.643508495,41.870938103,42.2893146845,116636020,0.0,1.0
AAPL,2018-01-17 00:00:00+00:00,179.1,179.25,175.07,176.15,32752734,42.5745714446,42.6102285396,41.6165841586,41.8733152427,131010936,0.0,1.0
AAPL,2018-01-18 00:00:00+00:00,179.26,180.1,178.25,179.37,30234512,42.6126056793,42.8122854114,42.3725145729,42.6387542156,120938048,0.0,1.0
AAPL,2018-01-19 00:00:00+00:00,178.46,179.58,177.41,178.61,30827809,42.4224345059,42.6886741487,42.1728348408,42.4580916009,123311236,0.0,1.0
AAPL,2018-01-22 00:00:00+00:00,177.0,177.78,176.6,177.3,26023683,42.0753721144,42.2607890085,41.9802865277,42.1466863045,104094732,0.0,1.0
AAPL,2018-01-23 00:00:00+00:00,177.04,179.44,176.82,177.3,31702531,42.0848806731,42.6553941933,42.0325836004,42.1466863045,126810124,0.0,1.0
AAPL,2018-01-24 00:00:00+00:00,174.22,177.3,173.2,177.25,50562257,41.4145272869,42.1466863045,41.1720590408,42.1348006061,202249028,0.0,1.0
AAPL,2018-01-25 00:00:00+00:00,171.11,174.95,170.53,174.51,39661804,40.6752368503,41.5880584826,40.5373627496,41.4834643372,158647216,0.0,1.0
AAPL,2018-01-26 00:00:00+00:00,171.51,172.0,170.06,172.0,37121805,40.770322437,40.8868022807,40.4256371852,40.8868022807,148487220,0.0,1.0
AAPL,2018-01-29 00:00:00+00:00,167.96,170.16,167.07,170.16,48434424,39.926437855,40.4494085819,39.7148724246,40.4494085819,193737696,0.0,1.0
AAPL,2018-01-30 00:00:00+00:00,166.97,167.37,164.7,165.53,45137026,39.691101028,39.7861866147,39.1514903234,39.3487929158,180548104,0.0,1.0
AAPL,2018-01-31 00:00:00+00:00,167.43,168.44,166.5,166.87,30984099,39.8004494527,40.0405405591,39.5793754636,39.6673296313,123936396,0.0,1.0
AAPL,2018-02-01 00:00:00+00:00,167.78,168.62,166.76,167.17,38099665,39.883649341,40.0833290731,39.6411810949,39.7386438213,152398660,0.0,1.0
AAPL,2018-02-02 00:00:00+00:00,160.5,166.8,160.1,166.0,85436075,38.1530916631,39.6506896536,38.0580060764,39.4605184802,341744300,0.0,1.0
AAPL,2018-02-05 00:00:00+00:00,156.49,163.88,156.0,159.1,66090446,37.1998586564,38.9565648707,37.0833788127,37.8202921097,264361784,0.0,1.0
AAPL,2018-02-06 00:00:00+00:00,163.03,163.72,154.0,154.83,66625484,38.754507999,38.918530636,36.6079508792,36.8052534716,266501936,0.0,1.0
